Date,Open,High,Low,Close,Adj Close,Volume
11/12/1964,6.544774,6.620459,6.544774,6.584608,1.473174,458148
14/12/1964,6.584608,6.592575,6.548757,6.548757,1.465153,332628
15/12/1964,6.548757,6.576641,6.500956,6.542782,1.463816,232212
16/12/1964,6.542782,6.576641,6.532823,6.548757,1.465153,232212
17/12/1964,6.548757,6.608509,6.54079,6.580625,1.472282,269868
18/12/1964,6.592575,6.620459,6.592575,6.612492,1.479413,433044
21/12/1964,6.612492,6.632409,6.612492,6.612492,1.479413,407940
22/12/1964,6.612492,6.632409,6.596558,6.596558,1.475848,382836
23/12/1964,6.596558,6.600542,6.548757,6.548757,1.465153,313800
24/12/1964,6.556724,6.588591,6.556724,6.588591,1.474065,213384
28/12/1964,6.588591,6.596558,6.548757,6.576641,1.47139,320076
29/12/1964,6.576641,6.580625,6.534815,6.54079,1.463371,577392
30/12/1964,6.54079,6.572658,6.532823,6.552741,1.466044,414216
31/12/1964,6.552741,6.588591,6.524857,6.524857,1.459805,520908
04/01/1965,6.524857,6.54079,6.453155,6.455147,1.44421,533460
05/01/1965,6.455147,6.469089,6.437221,6.439213,1.440644,520908
06/01/1965,6.469089,6.556724,6.469089,6.512906,1.457132,1016712
07/01/1965,6.54079,6.65631,6.54079,6.65631,1.489216,608772
08/01/1965,6.66826,6.771829,6.66826,6.771829,1.515062,765672
11/01/1965,6.771829,6.783779,6.708094,6.728011,1.505257,357732
12/01/1965,6.728011,6.747929,6.712078,6.743945,1.508821,470700
13/01/1965,6.743945,6.783779,6.739962,6.755895,1.511495,420492
14/01/1965,6.771829,6.823614,6.771829,6.81963,1.525756,1010436
15/01/1965,6.835564,6.931166,6.835564,6.927183,1.549819,602496
18/01/1965,6.967017,7.014818,6.967017,7.014818,1.569424,878640
19/01/1965,7.014818,7.07457,6.967017,7.07457,1.582793,941400
20/01/1965,7.07457,7.08652,7.058636,7.070586,1.581902,546012
21/01/1965,7.058636,7.058636,7.010835,7.058636,1.579228,552288
22/01/1965,7.07457,7.118388,7.07457,7.118388,1.592596,476976
25/01/1965,7.106437,7.106437,7.070586,7.09847,1.58814,307524
26/01/1965,7.09847,7.142288,7.042702,7.06262,1.580119,539736
27/01/1965,7.07457,7.146272,7.07457,7.146272,1.598836,552288
28/01/1965,7.146272,7.158222,7.122371,7.154238,1.600618,338904
29/01/1965,7.154238,7.170172,7.130338,7.146272,1.598836,401664
01/02/1965,7.130338,7.130338,7.090504,7.09847,1.58814,546012
02/02/1965,7.09847,7.122371,7.058636,7.082537,1.585109,276144
03/02/1965,7.07457,7.07457,7.046686,7.046686,1.577086,219660
04/02/1965,7.070586,7.154238,7.070586,7.150255,1.600265,326352
05/02/1965,7.122371,7.122371,7.07457,7.09847,1.588675,263592
08/02/1965,7.042702,7.042702,6.994901,7.026769,1.57263,357732
09/02/1965,7.026769,7.114404,7.010835,7.114404,1.592241,370284
10/02/1965,7.114404,7.138305,6.963034,7.002868,1.567277,357732
11/02/1965,7.002868,7.058636,6.994901,7.010835,1.569062,364008
12/02/1965,7.010835,7.034736,6.994901,7.024777,1.572183,269868
15/02/1965,7.018802,7.018802,6.887349,6.899299,1.5441,439320
16/02/1965,6.899299,6.951083,6.835564,6.851498,1.533401,370284
17/02/1965,6.851498,6.891332,6.771829,6.891332,1.542317,809604
18/02/1965,6.891332,7.066603,6.891332,7.066603,1.581544,558564
19/02/1965,7.082537,7.158222,7.082537,7.130338,1.595807,728016
23/02/1965,7.134321,7.166189,7.134321,7.138305,1.59759,251040
24/02/1965,7.146272,7.182122,7.146272,7.162205,1.602939,702912
25/02/1965,7.162205,7.241874,7.154238,7.241874,1.62077,646428
26/02/1965,7.249841,7.2837,7.249841,7.261791,1.625228,476976
01/03/1965,7.261791,7.301625,7.249841,7.253824,1.623444,364008
02/03/1965,7.253824,7.265774,7.22594,7.265774,1.62612,313800
03/03/1965,7.257808,7.257808,7.186106,7.22594,1.617204,257316
04/03/1965,7.22594,7.22594,7.146272,7.150255,1.600265,401664
05/03/1965,7.150255,7.217973,7.138305,7.20204,1.611854,338904
08/03/1965,7.22594,7.257808,7.22594,7.23789,1.619878,332628
09/03/1965,7.249841,7.333493,7.249841,7.333493,1.641274,476976
10/03/1965,7.331501,7.331501,7.281708,7.281708,1.629685,282420
11/03/1965,7.305609,7.37731,7.305609,7.321542,1.6386,451872
12/03/1965,7.333493,7.421128,7.333493,7.401211,1.65643,357732
15/03/1965,7.401211,7.48088,7.385277,7.445029,1.666237,320076
16/03/1965,7.425112,7.425112,7.361377,7.393244,1.654647,320076
17/03/1965,7.393244,7.409178,7.35341,7.37731,1.651081,169452
18/03/1965,7.385277,7.445029,7.385277,7.401211,1.65643,225936
19/03/1965,7.385277,7.385277,7.369344,7.37731,1.651081,163176
22/03/1965,7.37731,7.385277,7.331501,7.385277,1.652864,263592
23/03/1965,7.37731,7.37731,7.345443,7.349426,1.64484,288696
24/03/1965,7.349426,7.361377,7.313576,7.313576,1.636817,345180
25/03/1965,7.313576,7.313576,7.233907,7.265774,1.62612,313800
26/03/1965,7.241874,7.241874,7.154238,7.154238,1.601156,728016
29/03/1965,7.186106,7.249841,7.186106,7.245857,1.62166,282420
30/03/1965,7.245857,7.257808,7.210006,7.245857,1.62166,307524
31/03/1965,7.245857,7.265774,7.233907,7.23789,1.619878,263592
01/04/1965,7.249841,7.281708,7.249841,7.261791,1.625228,213384
02/04/1965,7.265774,7.297642,7.265774,7.289675,1.631469,395388
05/04/1965,7.289675,7.329509,7.285692,7.321542,1.6386,357732
06/04/1965,7.297642,7.297642,7.265774,7.273741,1.627902,263592
07/04/1965,7.273741,7.305609,7.265774,7.265774,1.62612,288696
08/04/1965,7.281708,7.309592,7.281708,7.297642,1.63325,225936
09/04/1965,7.35341,7.488846,7.35341,7.488846,1.676043,546012
12/04/1965,7.48088,7.48088,7.429095,7.48088,1.674261,395388
13/04/1965,7.48088,7.552581,7.456979,7.520714,1.683176,357732
14/04/1965,7.520714,7.568515,7.464946,7.528681,1.684958,571116
15/04/1965,7.528681,7.552581,7.456979,7.520714,1.683176,357732
19/04/1965,7.560548,7.63225,7.560548,7.63225,1.708138,345180
20/04/1965,7.63225,7.648184,7.584449,7.624283,1.706355,577392
21/04/1965,7.616316,7.616316,7.568515,7.592416,1.699224,244764
22/04/1965,7.624283,7.650175,7.624283,7.640217,1.709922,225936
23/04/1965,7.640217,7.660134,7.63225,7.652167,1.712595,251040
26/04/1965,7.6442,7.6442,7.600382,7.63225,1.708138,238488
27/04/1965,7.63225,7.648184,7.624283,7.63225,1.708138,182004
28/04/1965,7.63225,7.63225,7.600382,7.63225,1.708138,163176
29/04/1965,7.640217,7.672084,7.640217,7.648184,1.711703,182004
30/04/1965,7.648184,7.727852,7.648184,7.727852,1.729534,338904
03/05/1965,7.711918,7.711918,7.672084,7.703952,1.724184,150624
04/05/1965,7.703952,7.727852,7.648184,7.719885,1.728287,219660
05/05/1965,7.719885,7.791587,7.711918,7.727852,1.730071,426768
06/05/1965,7.751753,7.807521,7.751753,7.807521,1.747907,433044
07/05/1965,7.807521,7.831421,7.727852,7.727852,1.730071,395388
10/05/1965,7.727852,7.763703,7.616316,7.63225,1.708669,307524
11/05/1965,7.63225,7.684034,7.584449,7.648184,1.712234,156900
12/05/1965,7.648184,7.72586,7.648184,7.72586,1.729625,251040
13/05/1965,7.72586,7.731836,7.703952,7.711918,1.726503,307524
14/05/1965,7.684034,7.684034,7.652167,7.672084,1.717586,106692
